trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
176,False,"{'a': 0.1999999999999997, 'e': 0.0301973834223185}",30,18,21.838567093853342,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.1999999999999997, 'e': 0.029599435167892}",30,17,2.16885906192396,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
178,False,"{'a': 0.1999999999999997, 'e': 0.029013327082197053}",20,3,31.04639064145644,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.1999999999999997, 'e': 0.028438824714184505}",20,13,15.18409841840618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.1999999999999997, 'e': 0.027875698255247015}",25,15,15.938735154272472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.1999999999999997, 'e': 0.02732372244729256}",20,8,22.097775441596465,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.1999999999999997, 'e': 0.026782676492638175}",20,9,-19.328117423324514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.1999999999999997, 'e': 0.02625234396568796}",20,10,18.59800153077033,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.1999999999999997, 'e': 0.02573251272635994}",20,10,17.505025970863965,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.1999999999999997, 'e': 0.025222974835227212}",25,13,24.0444003607632,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.1999999999999997, 'e': 0.024723526470339388}",20,0,31.457993438958177,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.1999999999999997, 'e': 0.024233967845691113}",20,8,25.039521986626347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.1999999999999997, 'e': 0.023754103131304997}",20,0,32.33161246588839,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.1999999999999997, 'e': 0.023283740374897}",25,15,18.015544420943176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.1999999999999997, 'e': 0.02282269142509297}",25,11,25.55480574200955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.1999999999999997, 'e': 0.02237077185616559}",25,20,9.960162584642063,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.1999999999999997, 'e': 0.02192780089426161}",25,15,23.483655993210622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.1999999999999997, 'e': 0.021493601345089923}",30,12,28.774923855561845,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.1999999999999997, 'e': 0.021067999523041434}",35,22,27.597878421169483,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.1999999999999997, 'e': 0.020650825181712566}",30,11,27.27939397989784,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.1999999999999997, 'e': 0.02024191144580439}",20,16,7.855883607139387,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.1999999999999997, 'e': 0.019841094744370288}",20,11,14.296212039489879,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.1999999999999997, 'e': 0.01944821474538539}",30,20,16.439910075757286,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.1999999999999997, 'e': 0.019063114291611637}",30,19,21.954070334642626,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
